contig,start,end,positions,mean_depth,callable_percent
NC_000913.3,1,10000,10000,208.633800,99.980000
NC_000913.3,10001,20000,10000,179.374600,91.050000
NC_000913.3,20001,30000,10000,188.987400,94.930000
NC_000913.3,30001,40000,10000,204.153100,99.790000
NC_000913.3,40001,50000,10000,197.469600,100.000000
NC_000913.3,50001,60000,10000,167.000300,85.110000
NC_000913.3,60001,70000,10000,190.093500,99.380000
NC_000913.3,70001,80000,10000,192.390400,99.670000
NC_000913.3,80001,90000,10000,197.180000,100.000000
NC_000913.3,90001,100000,10000,192.065400,100.000000
NC_000913.3,100001,110000,10000,192.355200,100.000000
NC_000913.3,110001,120000,10000,188.015600,100.000000
NC_000913.3,120001,130000,10000,188.855700,100.000000
NC_000913.3,130001,140000,10000,189.898900,100.000000
NC_000913.3,140001,150000,10000,193.565400,100.000000
NC_000913.3,150001,160000,10000,189.649900,100.000000
NC_000913.3,160001,170000,10000,192.060500,100.000000
NC_000913.3,170001,180000,10000,189.068600,100.000000
NC_000913.3,180001,190000,10000,182.429700,99.480000
NC_000913.3,190001,200000,10000,188.252900,100.000000
NC_000913.3,200001,210000,10000,187.070000,100.000000
NC_000913.3,210001,220000,10000,184.625600,100.000000
NC_000913.3,220001,230000,10000,100.573800,62.450000
NC_000913.3,230001,240000,10000,166.859400,90.190000
NC_000913.3,240001,250000,10000,176.631600,98.780000
NC_000913.3,250001,260000,10000,172.440500,92.490000
NC_000913.3,260001,270000,10000,57.210400,29.700000
NC_000913.3,270001,280000,10000,2.955200,4.170000
NC_000913.3,280001,290000,10000,5.608800,3.380000
NC_000913.3,290001,300000,10000,55.976800,28.940000
NC_000913.3,300001,310000,10000,194.447600,100.000000
NC_000913.3,310001,320000,10000,168.897300,87.720000
NC_000913.3,320001,330000,10000,198.518800,100.000000
NC_000913.3,330001,340000,10000,195.573400,100.000000
NC_000913.3,340001,350000,10000,186.607600,99.610000
NC_000913.3,350001,360000,10000,191.220000,99.800000
NC_000913.3,360001,370000,10000,222.282600,100.000000
NC_000913.3,370001,380000,10000,183.718700,97.020000
NC_000913.3,380001,390000,10000,105.646400,57.990000
NC_000913.3,390001,400000,10000,164.953400,87.730000
NC_000913.3,400001,410000,10000,190.209400,100.000000
NC_000913.3,410001,420000,10000,193.457000,100.000000
NC_000913.3,420001,430000,10000,188.214100,100.000000
NC_000913.3,430001,440000,10000,189.359700,100.000000
NC_000913.3,440001,450000,10000,184.346600,99.220000
NC_000913.3,450001,460000,10000,182.796400,100.000000
NC_000913.3,460001,470000,10000,186.052200,100.000000
NC_000913.3,470001,480000,10000,185.623200,100.000000
NC_000913.3,480001,490000,10000,186.212900,100.000000
NC_000913.3,490001,500000,10000,186.911500,100.000000
NC_000913.3,500001,510000,10000,185.912000,100.000000
NC_000913.3,510001,520000,10000,185.135600,100.000000
NC_000913.3,520001,530000,10000,199.085800,97.960000
NC_000913.3,530001,540000,10000,184.706000,100.000000
NC_000913.3,540001,550000,10000,186.918700,100.000000
NC_000913.3,550001,560000,10000,180.895100,99.420000
NC_000913.3,560001,570000,10000,151.763900,85.730000
NC_000913.3,570001,580000,10000,136.871200,80.830000
NC_000913.3,580001,590000,10000,12.805900,13.460000
NC_000913.3,590001,600000,10000,117.169500,66.550000
NC_000913.3,600001,610000,10000,155.576800,91.640000
NC_000913.3,610001,620000,10000,178.399000,100.000000
NC_000913.3,620001,630000,10000,171.168500,100.000000
NC_000913.3,630001,640000,10000,144.184900,85.930000
NC_000913.3,640001,650000,10000,176.773200,100.000000
NC_000913.3,650001,660000,10000,166.141000,97.960000
NC_000913.3,660001,670000,10000,170.917200,100.000000
NC_000913.3,670001,680000,10000,124.514900,75.590000
NC_000913.3,680001,690000,10000,132.257700,83.460000
